Habitat	MAGs	GTDB	Quality	Not_Asso_MGE_Aronumber	Asso_MGE_Aronumber
Acid	NMDC60103853	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60104570	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60099266	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8190;g__PALSA-743;s__	Medium-quality	0	0
Acid	NMDC60099322	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__CAIPTY01;s__	Medium-quality	4	0
Acid	NMDC60099347	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	Medium-quality	2	0
Acid	NMDC60082076	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	Medium-quality	1	0
Acid	NMDC60098830	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__Fen-1038;s__	Medium-quality	0	0
Acid	NMDC60099471	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae_A;g__Sulfurirhabdus;s__	Medium-quality	7	0
Acid	NMDC60083304	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Thiomicrorhabdus;s__Thiomicrorhabdus sp015488565	Medium-quality	3	0
Acid	NMDC60099263	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__JABEVI01;s__	Medium-quality	3	0
Acid	NMDC60105412	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2103;g__C7867-001;s__	Medium-quality	1	0
Acid	NMDC60105424	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__GJ-E10;s__	Medium-quality	3	0
Acid	NMDC60104951	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__;s__	Medium-quality	2	0
Acid	NMDC60104544	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__;s__	Medium-quality	1	0
Acid	NMDC60099655	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__JABEUX01;s__	Medium-quality	3	0
Acid	NMDC60092570	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__	Medium-quality	3	0
Acid	NMDC60099610	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Medium-quality	3	0
Acid	NMDC60099484	d__Bacteria;p__Chloroflexota;c__FW602-bin22;o__JACQUS01;f__;g__;s__	High-quality	2	0
Acid	NMDC60105868	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__	Medium-quality	1	0
Acid	NMDC60092547	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_B;s__Thermofilum_B adornatum	High-quality	0	0
Acid	NMDC60105475	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Bilamarchaeaceae;g__JAHJBR01;s__	Medium-quality	0	0
Acid	NMDC60082877	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__SZUA-1535;g__SZUA-1535;s__SZUA-1535 sp015521535	Medium-quality	0	0
Acid	NMDC60099598	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA8932;g__CAIJMU01;s__	Medium-quality	1	0
Acid	NMDC60103095	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60104974	d__Bacteria;p__Patescibacteria;c__UBA1384;o__;f__;g__;s__	Medium-quality	1	0
Acid	NMDC60098879	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA8401;g__;s__	Medium-quality	3	0
Acid	NMDC60103501	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__;s__	Medium-quality	1	0
Acid	NMDC60101972	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__MWBV01;s__	Medium-quality	0	0
Acid	NMDC60105762	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__Gp1-AA145;s__	Medium-quality	3	1
Acid	NMDC60100620	d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__PALSA-1336;s__	Medium-quality	1	0
Acid	NMDC60101269	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	Medium-quality	1	0
Acid	NMDC60102239	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Palsa-461;s__	Medium-quality	3	0
Acid	NMDC60099458	d__Bacteria;p__Firmicutes_G;c__UBA5301;o__Bu52;f__;g__;s__	Medium-quality	3	0
Acid	NMDC60099359	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium europaeum	Medium-quality	9	0
Acid	NMDC60103769	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__	Medium-quality	4	0
Acid	NMDC60079283	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__TOLSYN sp903832295	Medium-quality	4	0
Acid	NMDC60107336	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__X112;g__SKIU01;s__SKIU01 sp007116275	Medium-quality	3	0
Acid	NMDC60083248	d__Bacteria;p__Aquificota;c__Desulfurobacteriia;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Balnearium;s__Balnearium sp015488335	Medium-quality	2	0
Acid	NMDC60102222	d__Bacteria;p__Firmicutes_E;c__RBS10-35;o__;f__;g__;s__	Medium-quality	5	0
Acid	NMDC60092496	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA4417;g__UBA4417;s__	Medium-quality	3	0
Acid	NMDC60103473	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrimicrobium;s__	Medium-quality	2	0
Acid	NMDC60106687	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__CADDZS01;g__CADDZS01;s__	Medium-quality	0	0
Acid	NMDC60082449	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCF-013343005;f__GCF-013343005;g__;s__	Medium-quality	5	0
Acid	NMDC60083289	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1672;s__	Medium-quality	1	0
Acid	NMDC60079256	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp903851415	Medium-quality	8	0
Acid	NMDC60104309	d__Bacteria;p__Firmicutes_E;c__Sulfobacillia;o__;f__;g__;s__	Medium-quality	3	0
Acid	NMDC60105771	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__;s__	High-quality	1	0
Acid	NMDC60105807	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__	Medium-quality	6	0
Acid	NMDC60100840	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA2770;f__;g__;s__	Medium-quality	3	0
Acid	NMDC60106402	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__WAJW01;s__	Medium-quality	1	0
Acid	NMDC60099026	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__;g__;s__	Medium-quality	3	0
Acid	NMDC60103601	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Ferrovaceae;g__;s__	Medium-quality	5	1
Acid	NMDC60103283	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__;s__	Medium-quality	1	0
Acid	NMDC60082421	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZT01;g__;s__	Medium-quality	0	0
Acid	NMDC60083360	d__Bacteria;p__Aquificota;c__Aquificae;o__Hydrogenothermales;f__Hydrogenothermaceae;g__Hydrogenothermus;s__	Medium-quality	1	0
Acid	NMDC60119219	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60106798	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__	Medium-quality	1	0
Acid	NMDC60102271	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Cuniculiplasma;s__	Medium-quality	0	0
Acid	NMDC60103272	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JABEVH01;s__	Medium-quality	4	0
Acid	NMDC60099151	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__GWF2-38-69;g__;s__	Medium-quality	5	0
Acid	NMDC60123340	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Oceanobacillus;s__	Medium-quality	12	0
Acid	NMDC60119250	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Cuniculiplasma;s__	Medium-quality	0	0
Acid	NMDC60099901	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA6899;g__MHLP01;s__	Medium-quality	2	0
Acid	NMDC60101960	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Acidiferrobacter;s__	Medium-quality	1	0
Acid	NMDC60100494	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60098776	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__BMS3ABIN01;f__BMS3ABIN01;g__JACWAD01;s__	Medium-quality	2	0
Acid	NMDC60100646	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__CEB3;s__	Medium-quality	2	0
Acid	NMDC60098582	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60119240	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__UBA184;s__	High-quality	1	0
Acid	NMDC60100243	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60100419	d__Bacteria;p__Firmicutes_E;c__RBS10-35;o__;f__;g__;s__	Medium-quality	4	0
Acid	NMDC60082489	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__DSM-19610;f__DSM-19610;g__Thiogranum;s__	Medium-quality	5	0
Acid	NMDC60082410	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__AKS1;f__AKS1;g__Sulfuriflexus;s__	Medium-quality	7	0
Acid	NMDC60101239	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__	Medium-quality	0	0
Acid	NMDC60102258	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60082897	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-152;f__SZUA-152;g__SZUA-152;s__SZUA-152 sp015487095	Medium-quality	6	0
Acid	NMDC60103774	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__UBA11393;g__;s__	Medium-quality	2	0
Acid	NMDC60104171	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Ferrovaceae;g__PN-J185;s__	Medium-quality	6	0
Acid	NMDC60103049	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__UBA183;s__	Medium-quality	0	0
Acid	NMDC60082798	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__JAADEQ01;s__	Medium-quality	1	0
Acid	NMDC60103230	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__	Medium-quality	3	0
Acid	NMDC60098727	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__;s__	Medium-quality	1	0
Acid	NMDC60082463	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus sp015521605	Medium-quality	0	0
Acid	NMDC60083355	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__;s__	Medium-quality	2	0
Acid	NMDC60102744	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__JAFKFJ01;s__	Medium-quality	2	0
Acid	NMDC60099770	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__WQYP01;f__WQYP01;g__JABEVA01;s__	Medium-quality	3	0
Acid	NMDC60105782	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	Medium-quality	3	0
Acid	NMDC60106823	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Palsa-688;g__JAFAWZ01;s__	Medium-quality	1	0
Acid	NMDC60101340	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__02-FULL-45-10c;g__VMGU01;s__	Medium-quality	0	0
Acid	NMDC60101071	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidithrix;s__	Medium-quality	1	0
Acid	NMDC60105378	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__SG8-24;g__;s__	Medium-quality	3	0
Acid	NMDC60101077	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__	Medium-quality	2	0
Acid	NMDC60105858	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	Medium-quality	3	0
Acid	NMDC60105314	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Anstonellales;f__Anstonellaceae;g__CAIXYX01;s__	Medium-quality	0	0
Acid	NMDC60106837	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__;s__	Medium-quality	0	0
Acid	NMDC60102598	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__GCA-001856825;g__GCA-001856825;s__	Medium-quality	0	0
Acid	NMDC60099954	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60106382	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Ghiorsea;s__	Medium-quality	0	0
Acid	NMDC60099518	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__UBA9933;g__;s__	Medium-quality	1	0
Acid	NMDC60064772	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	Medium-quality	0	0
Acid	NMDC60098840	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__;f__;g__;s__	Medium-quality	0	0
Acid	NMDC60106689	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__CAJBEZ01;s__	Medium-quality	3	0
Acid	NMDC60101060	d__Bacteria;p__Firmicutes_E;c__RBS10-35;o__RBS10-35;f__;g__;s__	Medium-quality	3	0
Acid	NMDC60102160	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__UBA447;s__	Medium-quality	1	0
Acid	NMDC60092482	d__Bacteria;p__Acidobacteriota;c__UBA4820;o__UBA4820;f__DSQY01;g__;s__	Medium-quality	2	0
Acid	NMDC60105255	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__PALSA-1316;s__	Medium-quality	6	0
Acid	NMDC60106367	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__J104;s__J104 sp003694495	Medium-quality	1	0
Acid	NMDC60106769	d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__GPS1B09;s__GPS1B09 sp018335695	Medium-quality	3	0
Acid	NMDC60082938	d__Bacteria;p__KSB1;c__UBA2214;o__CR04bin15;f__;g__;s__	Medium-quality	3	0
Acid	NMDC60082777	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__SZUA-451;s__	Medium-quality	3	0
Acid	NMDC60106817	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__;s__	Medium-quality	5	0
Acid	NMDC60100669	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Diaphorobacter;s__Diaphorobacter nitroreducens	Medium-quality	2	0
Acid	NMDC60082828	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__;s__	Medium-quality	2	0
Acid	NMDC60101247	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__;s__	High-quality	8	0
Acid	NMDC60104998	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__UBA2199;f__UBA2199;g__;s__	Medium-quality	1	0
Acid	NMDC60101608	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__UBA509;s__	Medium-quality	0	0
Acid	NMDC60065449	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__WFVA01;s__	Medium-quality	1	0
Acid	NMDC60105783	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidiphilium;s__	Medium-quality	3	0
Acid	NMDC60104286	d__Bacteria;p__Firmicutes_E;c__Sulfobacillia;o__Sulfobacillales;f__;g__;s__	Medium-quality	5	0
Acid	NMDC60065452	d__Archaea;p__Methanobacteriota_A;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__	Medium-quality	1	0
Acid	NMDC60095741	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales;f__UBA168;g__UBA168;s__	Medium-quality	0	0
Acid	NMDC60065400	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	Medium-quality	1	0
Acid	NMDC60104373	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__PALSA-457;s__	Medium-quality	3	0
Acid	NMDC60100665	d__Bacteria;p__Chloroflexota;c__FW602-bin22;o__FW602-bin22;f__JACPRP01;g__;s__	Medium-quality	2	0
Acid	NMDC60107308	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__J119;g__UBA12088;s__	Medium-quality	2	0
Acid	NMDC60099256	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__;s__	Medium-quality	4	0
Acid	NMDC60106415	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11858;g__J130;s__J130 sp003694235	Medium-quality	3	0
Acid	NMDC60102474	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__;s__	Medium-quality	0	0
Acid	NMDC60101811	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidocella;s__	Medium-quality	2	0
Acid	NMDC60101093	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylovirgula;s__	Medium-quality	4	0
Acid	NMDC60103985	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__	Medium-quality	1	0
Acid	NMDC60065439	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__S010-25;s__S010-25 sp015488885	Medium-quality	3	0
Acid	NMDC60104382	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	Medium-quality	1	0
Acid	NMDC60105533	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Acidiferrobacter;s__Acidiferrobacter thiooxydans	High-quality	6	0
Acid	NMDC60104449	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Ferroplasma;s__	Medium-quality	0	0
Acid	NMDC60099420	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__JADMIL01;s__	Medium-quality	2	0
Acid	NMDC60099154	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__	Medium-quality	3	0
Acid	NMDC60082878	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA9983;g__;s__	Medium-quality	1	0
Acid	NMDC60105468	d__Bacteria;p__Acidobacteriota;c__UBA4820;o__UBA4820;f__DSQY01;g__;s__	Medium-quality	1	0
Acid	NMDC60106728	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9159;g__;s__	High-quality	5	0
Acid	NMDC60096324	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Aramenus;s__Aramenus sulfurataquae	Medium-quality	0	0
Acid	NMDC60104130	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__JABEUN01;s__JABEUN01 sp013044415	Medium-quality	3	0
Acid	NMDC60103361	d__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Acidibacillaceae;g__;s__	Medium-quality	4	0
Acid	NMDC60105124	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__Sulfobium;s__	Medium-quality	3	0
Acid	NMDC60082336	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__JAADFS01;s__JAADFS01 sp015491705	Medium-quality	2	0
Acid	NMDC60099232	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Solirhodobacter;s__	Medium-quality	2	0
Acid	NMDC60106841	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60064613	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella;s__	Medium-quality	7	0
Acid	NMDC60119262	d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__GCA-016699595;f__;g__;s__	Medium-quality	1	0
Acid	NMDC60083345	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__SpSt-205;f__JAADEI01;g__JAADEI01;s__JAADEI01 sp015490475	Medium-quality	3	0
Acid	NMDC60105729	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__;s__	Medium-quality	3	0
Acid	NMDC60103932	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__;s__	Medium-quality	0	0
Acid	NMDC60100232	d__Bacteria;p__Firmicutes_E;c__Sulfobacillia;o__;f__;g__;s__	Medium-quality	2	0
Acid	NMDC60100635	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__;s__	Medium-quality	2	0
Acid	NMDC60082345	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__JdFR-85;g__JAADHP01;s__JAADHP01 sp011321725	Medium-quality	2	0
Acid	NMDC60106374	d__Bacteria;p__Schekmanbacteria;c__GWA2-38-11;o__GWA2-38-11;f__J061;g__J061;s__J061 sp003695725	Medium-quality	2	0
Acid	NMDC60104730	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Acidiplasma;s__Acidiplasma aeolicum	Medium-quality	0	0
Acid	NMDC60082482	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	Medium-quality	0	0
Acid	NMDC60106692	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA8199;g__CAIQQM01;s__	Medium-quality	2	0
Acid	NMDC60082326	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__S141-66;s__S141-66 sp015490455	High-quality	2	0
Acid	NMDC60082470	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6429;f__UBA6429;g__SZUA-37;s__	Medium-quality	4	0
Acid	NMDC60119237	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferrianus	Medium-quality	3	0
Acid	NMDC60101724	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter insuavis	Medium-quality	24	0
Acid	NMDC60082444	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-152;f__SZUA-152;g__;s__	Medium-quality	4	0
