Run	Isolate_Source1	Isolate_Source2	Isolate_Source3	Habitat
SRR7051285	Hydrothermal related	Gulf of California	Cathedral Hill gradient site, Gulf of California	Pressure
SRR7051295	Hydrothermal related	Gulf of California	Cathedral Hill gradient site, Gulf of California	Pressure
SRR7051296	Hydrothermal related	Gulf of California	Cathedral Hill gradient site, Gulf of California	Pressure
SRR7051320	Hydrothermal related	Gulf of California	Cathedral Hill gradient site, Gulf of California	Pressure
SRR7051321	Hydrothermal related	Gulf of California	Cathedral Hill gradient site, Gulf of California	Pressure
SRR7051322	Hydrothermal related	Gulf of California	Cathedral Hill gradient site, Gulf of California	Pressure
SRR7067822	Hot spring	USA: Nevada	USA: Great Boiling Springs, Gerlach, Nevada	Hot
SRR7067823	Hot spring	USA: Nevada	USA: Great Boiling Springs, Gerlach, Nevada	Hot
SRR7067986	Hot spring	USA: Nevada	USA: Great Boiling Springs, Gerlach, Nevada	Hot
SRR7141806	Antarctic saline lake	Antarctica: Deep Lake	Antarctica: Deep Lake	Saline-alkaline
SRR7168047	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pressure
SRR7168048	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pressure
SRR7168049	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pressure
SRR7168050	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pressure
SRR7168051	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pressure
SRR7168052	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pressure
SRR7168053	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Cross_habitat
SRR7168054	Hydrothermal related	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pacific Ocean: Mariana Back-Arc Basin vent fields	Pressure
SRR7268657	Acid mine drainage	United Kingdom: Island of Anglesey, North Wales	United Kingdom: Island of Anglesey, North Wales	Acid
SRR7473442	Hot spring	India: Chattisgarh	India: Chattisgarh	Hot
SRR7473443	Hot spring	India: Chattisgarh	India: Chattisgarh	Hot
SRR7473444	Hot spring	India: Chattisgarh	India: Chattisgarh	Hot
SRR7473445	Hot spring	India: Chattisgarh	India: Chattisgarh	Hot
SRR7517633	Hydrothermal related	Gulf of California	Ultra Mound gradient site, Gulf of California	Pressure
SRR7517634	Hydrothermal related	Gulf of California	Ultra Mound gradient site, Gulf of California	Pressure
SRR7526679	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7527650	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7527651	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7527797	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7527863	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7527865	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528055	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528056	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528202	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528366	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528378	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528379	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528416	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7528417	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7528418	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7528419	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7528420	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7528422	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528423	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528424	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528442	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528443	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528444	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528792	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528793	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528795	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528796	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528797	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528803	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528804	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528805	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528806	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528807	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528852	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528853	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528854	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528855	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528863	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528869	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528870	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528874	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528875	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528876	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528919	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528920	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528923	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528924	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7528925	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529027	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529028	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529087	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529088	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529089	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529090	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529097	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529098	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529184	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529407	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529408	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7529409	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7529410	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cross_habitat
SRR7529760	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529956	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7529957	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7548545	Antarctic saline lake	Antarctica: Ace Lake	Antarctica: Ace Lake	Cold
SRR7903765	Hot spring	Russia: Kunashir Island	Russia: Kunashir Island	Hot
