Run	Isolate_Source1	Isolate_Source2	Isolate_Source3	Habitat
SRR9649890	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9650298	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9650299	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9650326	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9650328	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9650329	Hot spring	USA: Wyoming	USA: Octopus Spring, Wyoming	Hot
SRR9650340	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9650341	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9650342	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9650343	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9650344	Hot spring	USA: Wyoming	USA: Mushroom Spring, Wyoming	Hot
SRR9849936	Hydrothermal related	Pacific Ocean: Loihi Seamount	Pacific Ocean: Loihi Seamount	Pressure
SRR9849951	Hydrothermal related	Pacific Ocean: Loihi Seamount	Pacific Ocean: Loihi Seamount	Pressure
SRR9849980	Hydrothermal related	Pacific Ocean: Urashima Vent Field, Southern Mariana Trough	Pacific Ocean: Urashima Vent Field, Southern Mariana Trough	Pressure
